Nama_Tempat,Fasilitas
Kuncen Camp Ground,Tempat Parkir
Kuncen Camp Ground,Toilet
Kuncen Camp Ground,Stop Kontak
Camping Umbul Sidomukti,Tempat Parkir
Camping Umbul Sidomukti,Tenda Kapasitas 3 Orang
Camping Umbul Sidomukti,Sleeping Bag / Selimut
Camping Umbul Sidomukti,Matras
Camping Umbul Sidomukti,Toilet Umum
Camping Umbul Sidomukti,Mushola
Camping Umbul Sidomukti,Dapur
Camping Umbul Sidomukti,Free Berenang di Kolam Renang Umbul Sidomukti
Pinusan Nglimut,Tempat Parkir
Pinusan Nglimut,Toilet
Pinusan Nglimut,Stop Kontak
Pinusan Nglimut,Mushola
Pinusan Nglimut,Cafe
Pinusan Nglimut,Warung
Camp Ground,Tempat Parkir
Jogja Camp,Tenda dan Peralatan Tidur (Gratis)
Jogja Camp,Lampu Tenda
Jogja Camp,Parkir (Gratis)
Jogja Camp,15 Toilet
Jogja Camp,Mushola
Jogja Camp,Limasan
Jogja Camp,Listrik Bebas
Jogja Camp,No Pungli
Camping Ground Bukit Klangon,Tempat Parkir
Lor Sambi Camping Ground,Tempat Parkir
Lor Sambi Camping Ground,Tempat Kemah Luas
Lor Sambi Camping Ground,Toilet
Waduk Sermo,Toilet
Waduk Sermo,Listrik
Waduk Sermo,Air Bersih
Waduk Sermo,Parkir R2 dan R4
Camping Ground Bukit Ngisis,Kamar Mandi Umum
Camping Ground Bukit Ngisis,Listrik
Camping Ground Bukit Ngisis,Air Bersih
Camping Ground Bukit Ngisis,Wi-Fi
Camping Ground Bukit Ngisis,Note : Harga hari libur bisa berubah
Watu Mabur Lemahbang Rock Cliff,Tempat Parkir
Ngrumput Beach,Tempat Parkir
Camp Ground Bukit Sikunir,Tempat Parkir
Camping Mawar,Tempat Parkir
Ratan Lurung Basecamp Gedongsongo,Tempat Parkir
Camp Ground Puncak Ungaran,Tempat Parkir
Telaga Cebong,Tempat Parkir
CAUB (Camp Area Umbul Bengkok),Tempat Parkir
Camping Ground Pantai Menganti,Tempat Parkir
Bukit Camping Menganti Beach,Tempat Parkir
Potrobayan River Camp,Tempat Parking
Potrobayan River Camp,Toilet
Potrobayan River Camp,Colokan Listrik
Potrobayan River Camp,Mushola
Pantai Wohkudu,Tempat Parkir
Watu Kodok Beach,Tempat Parkir
Ledok Sambi Ecopark,Tempat Parkir
Campground Sekipan,Tempat Parkir
Telaga Dringo,Tempat Parkir
Bumi Perkemahan Desa Kajar,Tempat Parkir
Camping Ground Karimunjawa,Transportasi Kapal Wisata
Camping Ground Karimunjawa,Tenda dan Peralatan Tidur
Camping Ground Karimunjawa,Eksplorasi Pulau
Camping Ground Karimunjawa,Snorkling
Camping Ground Karimunjawa,Pemandu Lokal
Camping Ground Karimunjawa,Makan 3 Kali Sehari
Camping Ground Karimunjawa,BBQ Malam di Pantai
Camping Ground Karimunjawa,Dokumentasi
Camping Ground Karimunjawa,Speargun Tradisional
Ekowisata Kali Talang,Gazebo
Ekowisata Kali Talang,Toilet
Ekowisata Kali Talang,Pendopo
Ekowisata Kali Talang,Gardu Pandang
Becici Peak,Area Parkir
Becici Peak,Toilet
Becici Peak,Gardu Pandang
Becici Peak,Gazebo
Becici Peak,Tempat Cuci Tangan
Becici Peak,Ruang Pertemuan
Becici Peak,Tempat Sampah
Becici Peak,Foodcourt
Becici Peak,Tempat Ibadah