Nama_Tempat,item,harga,kategori
Kuncen Camp Ground,Tiket Masuk,15000,biaya wajib
Kuncen Camp Ground,Parkir (Motor),5000,biaya wajib
Kuncen Camp Ground,Parkir (Mobil),10000,biaya wajib
Kuncen Camp Ground,Tenda 4P,65000,sewa pokok
Kuncen Camp Ground,Matras (180x120),20000,sewa mewah
Kuncen Camp Ground,Matras (180x60),10000,sewa pokok
Kuncen Camp Ground,Sleeping Bag,15000,sewa pokok
Kuncen Camp Ground,Nesting (Panci Kecil),15000,sewa pokok
Kuncen Camp Ground,Kompor (Kecil),15000,sewa pokok
Kuncen Camp Ground,Kompor (Koper),20000,sewa mewah
Kuncen Camp Ground,Gas Portable,10000,sewa pokok
Kuncen Camp Ground,Flysheet,15000,sewa mewah
Kuncen Camp Ground,Meja Lipat,20000,sewa pokok
Kuncen Camp Ground,Kursi Lipat,15000,sewa pokok
Kuncen Camp Ground,Grill Pan,15000,sewa mewah
Kuncen Camp Ground,Jasa Bongkar Pasang,20000,layanan
Kuncen Camp Ground,Lampu Tenda,15000,sewa pokok
Kuncen Camp Ground,Roll Kabel,15000,sewa pokok
Kuncen Camp Ground,Kayu Bakar,20000,sewa mewah
Kuncen Camp Ground,Minyak Tanah (600ml),15000,sewa mewah
Camping Umbul Sidomukti,Tiket Masuk,20000,biaya wajib
Pinusan Nglimut,Tiket Masuk,15000,biaya wajib
Camp Ground,Tiket Masuk,20000,biaya wajib
Jogja Camp,Paket per Tenda,150000,sewa pokok
Jogja Camp,Ground Only,25000,biaya wajib
Camping Ground Bukit Klangon,Tiket Masuk,20000,biaya wajib
Camping Ground Bukit Klangon,Parkir (Motor),3000,biaya wajib
Camping Ground Bukit Klangon,Parkir (Mobil),5000,biaya wajib
Camping Ground Bukit Klangon,Tenda 4P + Pasang,70000,layanan
Camping Ground Bukit Klangon,Matras,5000,sewa pokok
Camping Ground Bukit Klangon,Sleeping Bag,12000,sewa pokok
Camping Ground Bukit Klangon,Cooking Set,15000,sewa pokok
Camping Ground Bukit Klangon,Lampu Tenda,15000,sewa pokok
Camping Ground Bukit Klangon,Flysheet 3x4,13000,sewa mewah
Camping Ground Bukit Klangon,Kompor + Gas,40000,sewa pokok
Camping Ground Bukit Klangon,Kursi Lipat,15000,sewa pokok
Camping Ground Bukit Klangon,Meja Lipat,15000,sewa pokok
Lor Sambi Camping Ground,Tiket Masuk,20000,biaya wajib
Waduk Sermo,Tiket Masuk,6000,biaya wajib
Waduk Sermo,Biaya Camping,20000,biaya wajib
Waduk Sermo,Parkir (Motor),2000,biaya wajib
Waduk Sermo,Parkir (Mobil),5000,biaya wajib
Waduk Sermo,Parkir (Bus),10000,biaya wajib
Waduk Sermo,Sewa Perahu Gethek Tradisional,6000,layanan
Waduk Sermo,Sewa Perahu Motor (Per Rombongan),30000,layanan
Waduk Sermo,Jasa Spot Foto Gardu Pandang,10000,layanan
Camping Ground Bukit Ngisis,"Premium Pack 2 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)",250000,layanan
Camping Ground Bukit Ngisis,"Premium Pack 4 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)",400000,layanan
Camping Ground Bukit Ngisis,"Medium Pack 2 Orang (Tenda Dome, Matras & Fasilitas)",150000,layanan
Camping Ground Bukit Ngisis,"Medium Pack 4 Orang (Tenda Dome, Matras & Fasilitas)",250000,layanan
Camping Ground Bukit Ngisis,"Reguler Pack (Sewa tempat, Peralatan sendiri, Include fasilitas)",30000,biaya wajib
Camping Ground Bukit Ngisis,Sleeping Bag,30000,sewa pokok
Camping Ground Bukit Ngisis,Cooking Set,75000,sewa pokok
Camping Ground Bukit Ngisis,Kayu Bakar,10000,sewa pokok
Camping Ground Bukit Ngisis,Alat BBQ,75000,sewa mewah
Watu Mabur Lemahbang Rock Cliff,Tiket Masuk,20000,biaya wajib
Ngrumput Beach,Tiket Masuk,20000,biaya wajib
Camp Ground Bukit Sikunir,Tiket Masuk,20000,biaya wajib
Camping Mawar,Tiket Masuk,20000,biaya wajib
Ratan Lurung Basecamp Gedongsongo,Tiket Masuk,20000,biaya wajib
Camp Ground Puncak Ungaran,Tiket Masuk,20000,biaya wajib
Telaga Cebong,Tiket Masuk,20000,biaya wajib
CAUB (Camp Area Umbul Bengkok),Tiket Masuk,20000,biaya wajib
Camping Ground Pantai Menganti,Tiket Masuk,20000,biaya wajib
Bukit Camping Menganti Beach,Tiket Masuk,20000,biaya wajib
Potrobayan River Camp,Biaya Camping,10000,biaya wajib
Potrobayan River Camp,Parkir (Motor),5000,biaya wajib
Potrobayan River Camp,Parkir (Mobil),10000,biaya wajib
Potrobayan River Camp,Tenda Kapasitas 1-2,30000,sewa pokok
Potrobayan River Camp,Tenda Kapasitas 3-4,50000,sewa mewah
Potrobayan River Camp,Tenda Kapasitas 4-5,60000,sewa mewah
Potrobayan River Camp,Tenda Kapasitas 5-6,70000,sewa mewah
Potrobayan River Camp,Tenda Kapasitas 6-8,90000,sewa mewah
Potrobayan River Camp,Jasa Pasang,20000,layanan
Potrobayan River Camp,Matras,8000,sewa pokok
Potrobayan River Camp,Lampu Tenda,15000,sewa pokok
Potrobayan River Camp,Kompor (Grill),20000,sewa mewah
Potrobayan River Camp,Kompor (Kecil),15000,sewa pokok
Potrobayan River Camp,Gas Portable,13000,sewa pokok
Potrobayan River Camp,Nesting (Panci Kecil),15000,sewa pokok
Potrobayan River Camp,Grill Pan,20000,sewa mewah
Potrobayan River Camp,Kursi Lipat,20000,sewa pokok
Potrobayan River Camp,Meja Lipat,20000,sewa pokok
Potrobayan River Camp,Sleeping Bag,10000,sewa pokok
Pantai Wohkudu,Tiket Masuk,20000,biaya wajib
Watu Kodok Beach,Tiket Masuk,20000,biaya wajib
Ledok Sambi Ecopark,Tiket Masuk,20000,biaya wajib
Campground Sekipan,Tiket Masuk,20000,biaya wajib
Telaga Dringo,Tiket Masuk,20000,biaya wajib
Bumi Perkemahan Desa Kajar,Tiket Masuk,20000,biaya wajib
Camping Ground Karimunjawa,Paket Camping Ground One Day (2 Pax),1450000,layanan
Camping Ground Karimunjawa,Paket Camping Ground One Day (4 Pax),1190000,layanan
Camping Ground Karimunjawa,Paket Camping Ground One Day (6 Pax),990000,layanan
Camping Ground Karimunjawa,Paket Camping Ground One Day (8 Pax),924000,layanan
Camping Ground Karimunjawa,Paket Camping Ground One Day (10 Pax),890000,layanan
Ekowisata Kali Talang,Tiket Masuk Pelajar Hari Biasa (min 5 orang),12000,biaya wajib
Ekowisata Kali Talang,Tiket Masuk Pelajar Hari Libur (min 5 orang),17000,biaya wajib
Ekowisata Kali Talang,Tiket Masuk Umum Hari Biasa,17000,biaya wajib
Ekowisata Kali Talang,Tiket Masuk Umum Hari Libur,22000,biaya wajib
Ekowisata Kali Talang,Tiket Masuk WNA,157000,biaya wajib
Becici Peak,Tiket Masuk,7000,biaya wajib
Becici Peak,Parkir (Motor),2000,biaya wajib
Becici Peak,Parkir (Mobil),5000,biaya wajib